As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive Old,Netflix Release Date,Days In Top 10,Viewership Score,Netflix Exclusive,Streak,Rank Last Week
17/10/21,5,9,-,The Forgotten Battle,Movie,Yes,"Oct 15, 2021",2,8,Yes,9,NA
17/10/21,10,7,-,The Great British Baking Show,TV Show,,"Oct 3, 2015",18,63,No,7,NA
17/10/21,1,1,-,You,TV Show,,"Dec 26, 2018",2,20,No,1,NA
18/10/21,7,7,10,Cocomelon,TV Show,,"Jun 1, 2020",354,1248,No,7,10
18/10/21,8,6,3,Dave Chappelle: The Closer,Stand-Up Comedy,Yes,"Oct 5, 2021",12,82,Yes,6,3
18/10/21,9,8,-,Going in Style,Movie,,"Oct 11, 2021",3,6,No,8,NA
18/10/21,10,-,-,In the Dark,TV Show,,"Jul 5, 2019",6,7,No,-1,NA
18/10/21,3,3,2,Maid,TV Show,Yes,"Oct 1, 2021",17,144,Yes,3,2
18/10/21,6,9,-,My Name,TV Show,Yes,"Oct 15, 2021",2,7,Yes,9,NA
18/10/21,4,4,-,Shameless,TV Show,,"Jun 30, 2016",33,211,No,4,NA
18/10/21,2,2,1,Squid Game,TV Show,Yes,"Sep 17, 2021",29,278,Yes,2,1
18/10/21,5,5,-,The Forgotten Battle,Movie,Yes,"Oct 15, 2021",3,14,Yes,5,NA
18/10/21,1,1,-,You,TV Show,,"Dec 26, 2018",3,30,No,1,NA
19/10/21,5,7,9,Cocomelon,TV Show,,"Jun 1, 2020",355,1254,No,7,9
19/10/21,9,8,3,Dave Chappelle: The Closer,Stand-Up Comedy,Yes,"Oct 5, 2021",13,84,Yes,8,3
19/10/21,10,9,-,Going in Style,Movie,,"Oct 11, 2021",4,7,No,9,NA
19/10/21,8,10,-,In the Dark,TV Show,,"Jul 5, 2019",7,10,No,10,NA
19/10/21,3,3,2,Maid,TV Show,Yes,"Oct 1, 2021",18,152,Yes,3,2
19/10/21,7,6,-,My Name,TV Show,Yes,"Oct 15, 2021",3,11,Yes,6,NA
19/10/21,4,4,5,Shameless,TV Show,,"Jun 30, 2016",34,218,No,4,5
19/10/21,2,2,1,Squid Game,TV Show,Yes,"Sep 17, 2021",30,287,Yes,2,1
19/10/21,6,5,-,The Forgotten Battle,Movie,Yes,"Oct 15, 2021",4,19,Yes,5,NA
19/10/21,1,1,-,You,TV Show,,"Dec 26, 2018",4,40,No,1,NA
20/10/21,5,5,9,Cocomelon,TV Show,,"Jun 1, 2020",356,1260,No,5,9
20/10/21,10,10,-,Going in Style,Movie,,"Oct 11, 2021",5,8,No,10,NA
20/10/21,8,8,-,In the Dark,TV Show,,"Jul 5, 2019",8,13,No,8,NA
20/10/21,3,3,2,Maid,TV Show,Yes,"Oct 1, 2021",19,160,Yes,3,2
20/10/21,6,7,-,My Name,TV Show,Yes,"Oct 15, 2021",4,16,Yes,7,NA
20/10/21,9,-,-,Riverdale,TV Show,,"May 19, 2017",23,113,No,-1,NA
20/10/21,4,4,4,Shameless,TV Show,,"Jun 30, 2016",35,225,No,4,4
20/10/21,2,2,1,Squid Game,TV Show,Yes,"Sep 17, 2021",31,296,Yes,2,1
20/10/21,7,6,-,The Forgotten Battle,Movie,Yes,"Oct 15, 2021",5,23,Yes,6,NA
20/10/21,1,1,-,You,TV Show,,"Dec 26, 2018",5,50,No,1,NA
21/10/21,5,5,8,Cocomelon,TV Show,,"Jun 1, 2020",357,1266,No,5,8
21/10/21,10,-,4,Dave Chappelle: The Closer,Stand-Up Comedy,Yes,"Oct 5, 2021",14,85,Yes,-1,4
21/10/21,9,8,-,In the Dark,TV Show,,"Jul 5, 2019",9,15,No,8,NA
21/10/21,3,3,2,Maid,TV Show,Yes,"Oct 1, 2021",20,168,Yes,3,2
21/10/21,6,6,-,My Name,TV Show,Yes,"Oct 15, 2021",5,21,Yes,6,NA
21/10/21,7,-,-,Night Teeth,Movie,Yes,"Oct 20, 2021",1,4,Yes,-1,NA
21/10/21,8,9,-,Riverdale,TV Show,,"May 19, 2017",24,116,No,9,NA
21/10/21,4,4,3,Shameless,TV Show,,"Jun 30, 2016",36,232,No,4,3
21/10/21,2,2,1,Squid Game,TV Show,Yes,"Sep 17, 2021",32,305,Yes,2,1
21/10/21,1,1,-,You,TV Show,,"Dec 26, 2018",6,60,No,1,NA
22/10/21,6,5,7,Cocomelon,TV Show,,"Jun 1, 2020",358,1271,No,5,7
22/10/21,9,10,4,Dave Chappelle: The Closer,Stand-Up Comedy,Yes,"Oct 5, 2021",15,87,Yes,10,4
22/10/21,10,9,-,In the Dark,TV Show,,"Jul 5, 2019",10,16,No,9,NA
22/10/21,3,3,2,Maid,TV Show,Yes,"Oct 1, 2021",21,176,Yes,3,2
22/10/21,8,6,-,My Name,TV Show,Yes,"Oct 15, 2021",6,24,Yes,6,NA
22/10/21,4,7,-,Night Teeth,Movie,Yes,"Oct 20, 2021",2,11,Yes,7,NA
22/10/21,7,8,-,Riverdale,TV Show,,"May 19, 2017",25,120,No,8,NA
22/10/21,5,4,3,Shameless,TV Show,,"Jun 30, 2016",37,238,No,4,3
22/10/21,2,2,1,Squid Game,TV Show,Yes,"Sep 17, 2021",33,314,Yes,2,1
22/10/21,1,1,-,You,TV Show,,"Dec 26, 2018",7,70,No,1,NA
23/10/21,5,6,6,Cocomelon,TV Show,,"Jun 1, 2020",359,1277,No,6,6
23/10/21,10,9,5,Dave Chappelle: The Closer,Stand-Up Comedy,Yes,"Oct 5, 2021",16,88,Yes,9,5
23/10/21,4,-,-,Locke & Key,TV Show,Yes,"Feb 7, 2020",1,7,Yes,-1,NA
23/10/21,3,3,3,Maid,TV Show,Yes,"Oct 1, 2021",22,184,Yes,3,3
23/10/21,7,4,-,Night Teeth,Movie,Yes,"Oct 20, 2021",3,15,Yes,4,NA
23/10/21,9,7,-,Riverdale,TV Show,,"May 19, 2017",26,122,No,7,NA
23/10/21,6,5,4,Shameless,TV Show,,"Jun 30, 2016",38,243,No,5,4
23/10/21,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",34,323,Yes,2,2
23/10/21,8,-,7,The Great British Baking Show,TV Show,,"Oct 3, 2015",19,66,No,-1,7
23/10/21,1,1,1,You,TV Show,,"Dec 26, 2018",8,80,No,1,1
24/10/21,8,5,7,Cocomelon,TV Show,,"Jun 1, 2020",360,1280,No,5,7
24/10/21,5,-,-,Inside Job,TV Show,Yes,"Oct 22, 2021",1,6,Yes,-1,NA
24/10/21,4,4,-,Locke & Key,TV Show,Yes,"Feb 7, 2020",2,14,Yes,4,NA
24/10/21,3,3,3,Maid,TV Show,Yes,"Oct 1, 2021",23,192,Yes,3,3
24/10/21,6,-,-,Maya and the Three,TV Show,Yes,"Oct 22, 2021",1,5,Yes,-1,NA
24/10/21,7,7,-,Night Teeth,Movie,Yes,"Oct 20, 2021",4,19,Yes,7,NA
24/10/21,9,9,-,Riverdale,TV Show,,"May 19, 2017",27,124,No,9,NA
24/10/21,10,6,4,Shameless,TV Show,,"Jun 30, 2016",39,244,No,6,4
24/10/21,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",35,332,Yes,2,2
24/10/21,1,1,1,You,TV Show,,"Dec 26, 2018",9,90,No,1,1
25/10/21,10,8,7,Cocomelon,TV Show,,"Jun 1, 2020",361,1281,No,8,7
25/10/21,5,5,-,Inside Job,TV Show,Yes,"Oct 22, 2021",2,12,Yes,5,NA
25/10/21,3,4,-,Locke & Key,TV Show,Yes,"Feb 7, 2020",3,22,Yes,4,NA
25/10/21,4,3,3,Maid,TV Show,Yes,"Oct 1, 2021",24,199,Yes,3,3
25/10/21,6,6,-,Maya and the Three,TV Show,Yes,"Oct 22, 2021",2,10,Yes,6,NA
25/10/21,7,7,-,Night Teeth,Movie,Yes,"Oct 20, 2021",5,23,Yes,7,NA
25/10/21,8,9,-,Riverdale,TV Show,,"May 19, 2017",28,127,No,9,NA
25/10/21,9,10,4,Shameless,TV Show,,"Jun 30, 2016",40,246,No,10,4
25/10/21,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",36,341,Yes,2,2
25/10/21,1,1,1,You,TV Show,,"Dec 26, 2018",10,100,No,1,1
26/10/21,7,10,5,Cocomelon,TV Show,,"Jun 1, 2020",362,1285,No,10,5
26/10/21,5,5,-,Inside Job,TV Show,Yes,"Oct 22, 2021",3,18,Yes,5,NA
26/10/21,3,3,-,Locke & Key,TV Show,Yes,"Feb 7, 2020",4,30,Yes,3,NA
26/10/21,4,4,3,Maid,TV Show,Yes,"Oct 1, 2021",25,206,Yes,4,3
26/10/21,8,6,-,Maya and the Three,TV Show,Yes,"Oct 22, 2021",3,13,Yes,6,NA
26/10/21,10,7,-,Night Teeth,Movie,Yes,"Oct 20, 2021",6,24,Yes,7,NA
26/10/21,6,8,-,Riverdale,TV Show,,"May 19, 2017",29,132,No,8,NA
26/10/21,9,9,4,Shameless,TV Show,,"Jun 30, 2016",41,248,No,9,4
26/10/21,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",37,350,Yes,2,2
26/10/21,1,1,1,You,TV Show,,"Dec 26, 2018",11,110,No,1,1
27/10/21,8,7,5,Cocomelon,TV Show,,"Jun 1, 2020",363,1288,No,7,5
27/10/21,5,5,-,Inside Job,TV Show,Yes,"Oct 22, 2021",4,24,Yes,5,NA
27/10/21,10,-,-,King Arthur: Legend of the …,Movie,,"Oct 25, 2021",1,1,No,-1,NA
27/10/21,4,3,-,Locke & Key,TV Show,Yes,"Feb 7, 2020",5,37,Yes,3,NA
27/10/21,3,4,3,Maid,TV Show,Yes,"Oct 1, 2021",26,214,Yes,4,3
27/10/21,7,8,-,Maya and the Three,TV Show,Yes,"Oct 22, 2021",4,17,Yes,8,NA
27/10/21,6,6,9,Riverdale,TV Show,,"May 19, 2017",30,137,No,6,9
27/10/21,9,9,4,Shameless,TV Show,,"Jun 30, 2016",42,250,No,9,4
27/10/21,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",38,359,Yes,2,2
27/10/21,1,1,1,You,TV Show,,"Dec 26, 2018",12,120,No,1,1
28/10/21,8,8,5,Cocomelon,TV Show,,"Jun 1, 2020",364,1291,No,8,5
28/10/21,10,-,-,Hypnotic,Movie,Yes,"Oct 27, 2021",1,1,Yes,-1,NA
28/10/21,5,5,-,Inside Job,TV Show,Yes,"Oct 22, 2021",5,30,Yes,5,NA
28/10/21,6,10,-,King Arthur: Legend of the …,Movie,,"Oct 25, 2021",2,6,No,10,NA
28/10/21,4,4,-,Locke & Key,TV Show,Yes,"Feb 7, 2020",6,44,Yes,4,NA
28/10/21,3,3,3,Maid,TV Show,Yes,"Oct 1, 2021",27,222,Yes,3,3
28/10/21,7,7,-,Maya and the Three,TV Show,Yes,"Oct 22, 2021",5,21,Yes,7,NA
28/10/21,9,6,8,Riverdale,TV Show,,"May 19, 2017",31,139,No,6,8
28/10/21,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",39,368,Yes,2,2
28/10/21,1,1,1,You,TV Show,,"Dec 26, 2018",13,130,No,1,1
29/10/21,9,8,6,Cocomelon,TV Show,,"Jun 1, 2020",365,1293,No,8,6
29/10/21,5,10,-,Hypnotic,Movie,Yes,"Oct 27, 2021",2,7,Yes,10,NA
29/10/21,7,5,-,Inside Job,TV Show,Yes,"Oct 22, 2021",6,34,Yes,5,NA
29/10/21,6,6,-,King Arthur: Legend of the …,Movie,,"Oct 25, 2021",3,11,No,6,NA
29/10/21,4,4,-,Locke & Key,TV Show,Yes,"Feb 7, 2020",7,51,Yes,4,NA
29/10/21,3,3,3,Maid,TV Show,Yes,"Oct 1, 2021",28,230,Yes,3,3
29/10/21,8,7,-,Maya and the Three,TV Show,Yes,"Oct 22, 2021",6,24,Yes,7,NA
29/10/21,10,9,7,Riverdale,TV Show,,"May 19, 2017",32,140,No,9,7
29/10/21,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",40,377,Yes,2,2
29/10/21,1,1,1,You,TV Show,,"Dec 26, 2018",14,140,No,1,1
30/10/21,6,-,-,Army of Thieves,Movie,Yes,"Oct 29, 2021",1,5,Yes,-1,NA
30/10/21,10,9,5,Cocomelon,TV Show,,"Jun 1, 2020",366,1294,No,9,5
30/10/21,3,5,-,Hypnotic,Movie,Yes,"Oct 27, 2021",3,15,Yes,5,NA
30/10/21,9,6,-,King Arthur: Legend of the …,Movie,,"Oct 25, 2021",4,13,No,6,NA
30/10/21,5,4,4,Locke & Key,TV Show,Yes,"Feb 7, 2020",8,57,Yes,4,4
30/10/21,4,3,3,Maid,TV Show,Yes,"Oct 1, 2021",29,237,Yes,3,3
30/10/21,8,8,-,Maya and the Three,TV Show,Yes,"Oct 22, 2021",7,27,Yes,8,NA
30/10/21,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",41,386,Yes,2,2
30/10/21,7,-,8,The Great British Baking Show,TV Show,,"Oct 3, 2015",20,70,No,-1,8
30/10/21,1,1,1,You,TV Show,,"Dec 26, 2018",15,150,No,1,1
31/10/21,2,6,-,Army of Thieves,Movie,Yes,"Oct 29, 2021",2,14,Yes,6,NA
31/10/21,9,10,8,Cocomelon,TV Show,,"Jun 1, 2020",367,1296,No,10,8
31/10/21,10,-,-,Colin in Black & White,TV Show,Yes,"Oct 29, 2021",1,1,Yes,-1,NA
31/10/21,4,3,-,Hypnotic,Movie,Yes,"Oct 27, 2021",4,22,Yes,3,NA
31/10/21,7,9,-,King Arthur: Legend of the …,Movie,,"Oct 25, 2021",5,17,No,9,NA
31/10/21,8,5,4,Locke & Key,TV Show,Yes,"Feb 7, 2020",9,60,Yes,5,4
31/10/21,5,4,3,Maid,TV Show,Yes,"Oct 1, 2021",30,243,Yes,4,3
31/10/21,6,8,6,Maya and the Three,TV Show,Yes,"Oct 22, 2021",8,32,Yes,8,6
31/10/21,3,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",42,394,Yes,2,2
31/10/21,1,1,1,You,TV Show,,"Dec 26, 2018",16,160,No,1,1
01/11/21,1,2,-,Army of Thieves,Movie,Yes,"Oct 29, 2021",3,24,Yes,2,NA
01/11/21,9,9,10,Cocomelon,TV Show,,"Jun 1, 2020",368,1298,No,9,10
01/11/21,10,10,-,Colin in Black & White,TV Show,Yes,"Oct 29, 2021",2,2,Yes,10,NA
01/11/21,5,4,-,Hypnotic,Movie,Yes,"Oct 27, 2021",5,28,Yes,4,NA
01/11/21,8,7,-,King Arthur: Legend of the …,Movie,,"Oct 25, 2021",6,20,No,7,NA
01/11/21,6,8,3,Locke & Key,TV Show,Yes,"Feb 7, 2020",10,65,Yes,8,3
01/11/21,4,5,4,Maid,TV Show,Yes,"Oct 1, 2021",31,250,Yes,5,4
01/11/21,7,6,6,Maya and the Three,TV Show,Yes,"Oct 22, 2021",9,36,Yes,6,6
01/11/21,3,3,2,Squid Game,TV Show,Yes,"Sep 17, 2021",43,402,Yes,3,2
01/11/21,2,1,1,You,TV Show,,"Dec 26, 2018",17,169,No,1,1
02/11/21,8,-,-,21 Jump Street,Movie,,"Nov 1, 2021",1,3,No,-1,NA
02/11/21,1,1,-,Army of Thieves,Movie,Yes,"Oct 29, 2021",4,34,Yes,1,NA
02/11/21,7,9,7,Cocomelon,TV Show,,"Jun 1, 2020",369,1302,No,9,7
02/11/21,6,10,-,Colin in Black & White,TV Show,Yes,"Oct 29, 2021",3,7,Yes,10,NA
02/11/21,10,5,-,Hypnotic,Movie,Yes,"Oct 27, 2021",6,29,Yes,5,NA
02/11/21,5,6,3,Locke & Key,TV Show,Yes,"Feb 7, 2020",11,71,Yes,6,3
02/11/21,4,4,4,Maid,TV Show,Yes,"Oct 1, 2021",32,257,Yes,4,4
02/11/21,9,-,6,Riverdale,TV Show,,"May 19, 2017",33,142,No,-1,6
02/11/21,3,3,2,Squid Game,TV Show,Yes,"Sep 17, 2021",44,410,Yes,3,2
02/11/21,2,2,1,You,TV Show,,"Dec 26, 2018",18,178,No,2,1
03/11/21,5,8,-,21 Jump Street,Movie,,"Nov 1, 2021",2,9,No,8,NA
03/11/21,2,1,-,Army of Thieves,Movie,Yes,"Oct 29, 2021",5,43,Yes,1,NA
03/11/21,8,7,8,Cocomelon,TV Show,,"Jun 1, 2020",370,1305,No,7,8
03/11/21,4,6,-,Colin in Black & White,TV Show,Yes,"Oct 29, 2021",4,14,Yes,6,NA
03/11/21,7,5,4,Locke & Key,TV Show,Yes,"Feb 7, 2020",12,75,Yes,5,4
03/11/21,6,4,3,Maid,TV Show,Yes,"Oct 1, 2021",33,262,Yes,4,3
03/11/21,9,-,-,Replicas,Movie,,"Nov 1, 2021",1,2,No,-1,NA
03/11/21,10,9,6,Riverdale,TV Show,,"May 19, 2017",34,143,No,9,6
03/11/21,3,3,2,Squid Game,TV Show,Yes,"Sep 17, 2021",45,418,Yes,3,2
03/11/21,1,2,1,You,TV Show,,"Dec 26, 2018",19,188,No,2,1
04/11/21,3,5,-,21 Jump Street,Movie,,"Nov 1, 2021",3,17,No,5,NA
04/11/21,5,2,-,Army of Thieves,Movie,Yes,"Oct 29, 2021",6,49,Yes,2,NA
04/11/21,8,8,8,Cocomelon,TV Show,,"Jun 1, 2020",371,1308,No,8,8
04/11/21,6,4,-,Colin in Black & White,TV Show,Yes,"Oct 29, 2021",5,19,Yes,4,NA
04/11/21,9,7,4,Locke & Key,TV Show,Yes,"Feb 7, 2020",13,77,Yes,7,4
04/11/21,7,6,3,Maid,TV Show,Yes,"Oct 1, 2021",34,266,Yes,6,3
04/11/21,10,9,-,Replicas,Movie,,"Nov 1, 2021",2,3,No,9,NA
04/11/21,4,3,2,Squid Game,TV Show,Yes,"Sep 17, 2021",46,425,Yes,3,2
04/11/21,1,-,-,The Harder They Fall,Movie,Yes,"Nov 3, 2021",1,10,Yes,-1,NA
04/11/21,2,1,1,You,TV Show,,"Dec 26, 2018",20,197,No,1,1
05/11/21,3,3,-,21 Jump Street,Movie,,"Nov 1, 2021",4,25,No,3,NA
05/11/21,6,5,-,Army of Thieves,Movie,Yes,"Oct 29, 2021",7,54,Yes,5,NA
05/11/21,9,-,-,Catching Killers,TV Show,Yes,"Nov 4, 2021",1,2,Yes,-1,NA
05/11/21,8,8,9,Cocomelon,TV Show,,"Jun 1, 2020",372,1311,No,8,9
05/11/21,5,6,-,Colin in Black & White,TV Show,Yes,"Oct 29, 2021",6,25,Yes,6,NA
05/11/21,10,9,4,Locke & Key,TV Show,Yes,"Feb 7, 2020",14,78,Yes,9,4
05/11/21,7,7,3,Maid,TV Show,Yes,"Oct 1, 2021",35,270,Yes,7,3
05/11/21,4,4,2,Squid Game,TV Show,Yes,"Sep 17, 2021",47,432,Yes,4,2
05/11/21,1,1,-,The Harder They Fall,Movie,Yes,"Nov 3, 2021",2,20,Yes,1,NA
05/11/21,2,2,1,You,TV Show,,"Dec 26, 2018",21,206,No,2,1
06/11/21,6,3,-,21 Jump Street,Movie,,"Nov 1, 2021",5,30,No,3,NA
06/11/21,10,6,6,Army of Thieves,Movie,Yes,"Oct 29, 2021",8,55,Yes,6,6
06/11/21,3,-,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",14,102,Yes,-1,NA
06/11/21,9,9,-,Catching Killers,TV Show,Yes,"Nov 4, 2021",2,4,Yes,9,NA
06/11/21,2,-,-,Love Hard,Movie,Yes,"Nov 5, 2021",1,9,Yes,-1,NA
06/11/21,7,-,-,Narcos: Mexico,TV Show,Yes,"Nov 16, 2018",1,4,Yes,-1,NA
06/11/21,5,4,2,Squid Game,TV Show,Yes,"Sep 17, 2021",48,438,Yes,4,2
06/11/21,8,-,7,The Great British Baking Show,TV Show,,"Oct 3, 2015",21,73,No,-1,7
06/11/21,1,1,-,The Harder They Fall,Movie,Yes,"Nov 3, 2021",3,30,Yes,1,NA
06/11/21,4,2,1,You,TV Show,,"Dec 26, 2018",22,213,No,2,1
07/11/21,7,6,-,21 Jump Street,Movie,,"Nov 1, 2021",6,34,No,6,NA
07/11/21,9,10,2,Army of Thieves,Movie,Yes,"Oct 29, 2021",9,57,Yes,10,2
07/11/21,3,3,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",15,110,Yes,3,NA
07/11/21,8,9,-,Catching Killers,TV Show,Yes,"Nov 4, 2021",3,7,Yes,9,NA
07/11/21,10,-,9,Cocomelon,TV Show,,"Jun 1, 2020",373,1312,No,-1,9
07/11/21,2,2,-,Love Hard,Movie,Yes,"Nov 5, 2021",2,18,Yes,2,NA
07/11/21,5,7,-,Narcos: Mexico,TV Show,Yes,"Nov 16, 2018",2,10,Yes,7,NA
07/11/21,6,5,3,Squid Game,TV Show,Yes,"Sep 17, 2021",49,443,Yes,5,3
07/11/21,1,1,-,The Harder They Fall,Movie,Yes,"Nov 3, 2021",4,40,Yes,1,NA
07/11/21,4,4,1,You,TV Show,,"Dec 26, 2018",23,220,No,4,1
08/11/21,7,7,-,21 Jump Street,Movie,,"Nov 1, 2021",7,38,No,7,NA
08/11/21,9,-,-,Arcane,TV Show,Yes,"Nov 6, 2021",1,2,Yes,-1,NA
08/11/21,3,3,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",16,118,Yes,3,NA
08/11/21,8,8,-,Catching Killers,TV Show,Yes,"Nov 4, 2021",4,10,Yes,8,NA
08/11/21,1,2,-,Love Hard,Movie,Yes,"Nov 5, 2021",3,28,Yes,2,NA
08/11/21,10,-,4,Maid,TV Show,Yes,"Oct 1, 2021",36,271,Yes,-1,4
08/11/21,4,5,-,Narcos: Mexico,TV Show,Yes,"Nov 16, 2018",3,17,Yes,5,NA
08/11/21,6,6,3,Squid Game,TV Show,Yes,"Sep 17, 2021",50,448,Yes,6,3
08/11/21,2,1,-,The Harder They Fall,Movie,Yes,"Nov 3, 2021",5,49,Yes,1,NA
08/11/21,5,4,2,You,TV Show,,"Dec 26, 2018",24,226,No,4,2
09/11/21,9,7,8,21 Jump Street,Movie,,"Nov 1, 2021",8,40,No,7,8
09/11/21,2,3,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",17,127,Yes,3,NA
09/11/21,6,8,-,Catching Killers,TV Show,Yes,"Nov 4, 2021",5,15,Yes,8,NA
09/11/21,8,-,7,Cocomelon,TV Show,,"Jun 1, 2020",374,1315,No,-1,7
09/11/21,1,1,-,Love Hard,Movie,Yes,"Nov 5, 2021",4,38,Yes,1,NA
09/11/21,10,10,4,Maid,TV Show,Yes,"Oct 1, 2021",37,272,Yes,10,4
09/11/21,4,4,-,Narcos: Mexico,TV Show,Yes,"Nov 16, 2018",4,24,Yes,4,NA
09/11/21,7,6,3,Squid Game,TV Show,Yes,"Sep 17, 2021",51,452,Yes,6,3
09/11/21,3,2,-,The Harder They Fall,Movie,Yes,"Nov 3, 2021",6,57,Yes,2,NA
09/11/21,5,5,2,You,TV Show,,"Dec 26, 2018",25,232,No,5,2
10/11/21,10,9,5,21 Jump Street,Movie,,"Nov 1, 2021",9,41,No,9,5
10/11/21,2,2,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",18,136,Yes,2,NA
10/11/21,7,6,-,Catching Killers,TV Show,Yes,"Nov 4, 2021",6,19,Yes,6,NA
10/11/21,8,8,8,Cocomelon,TV Show,,"Jun 1, 2020",375,1318,No,8,8
10/11/21,1,1,-,Love Hard,Movie,Yes,"Nov 5, 2021",5,48,Yes,1,NA
10/11/21,9,10,6,Maid,TV Show,Yes,"Oct 1, 2021",38,274,Yes,10,6
10/11/21,3,4,-,Narcos: Mexico,TV Show,Yes,"Nov 16, 2018",5,32,Yes,4,NA
10/11/21,6,7,3,Squid Game,TV Show,Yes,"Sep 17, 2021",52,457,Yes,7,3
10/11/21,4,3,-,The Harder They Fall,Movie,Yes,"Nov 3, 2021",7,64,Yes,3,NA
10/11/21,5,5,1,You,TV Show,,"Dec 26, 2018",26,238,No,5,1
11/11/21,2,2,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",19,145,Yes,2,NA
11/11/21,8,7,-,Catching Killers,TV Show,Yes,"Nov 4, 2021",7,22,Yes,7,NA
11/11/21,7,8,8,Cocomelon,TV Show,,"Jun 1, 2020",376,1322,No,8,8
11/11/21,1,1,-,Love Hard,Movie,Yes,"Nov 5, 2021",6,58,Yes,1,NA
11/11/21,9,9,7,Maid,TV Show,Yes,"Oct 1, 2021",39,276,Yes,9,7
11/11/21,3,3,-,Narcos: Mexico,TV Show,Yes,"Nov 16, 2018",6,40,Yes,3,NA
11/11/21,6,6,4,Squid Game,TV Show,Yes,"Sep 17, 2021",53,462,Yes,6,4
11/11/21,4,4,1,The Harder They Fall,Movie,Yes,"Nov 3, 2021",8,71,Yes,4,1
11/11/21,10,-,-,The Thundermans,TV Show,,"Nov 1, 2021",1,1,No,-1,NA
11/11/21,5,5,2,You,TV Show,,"Dec 26, 2018",27,244,No,5,2
12/11/21,2,2,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",20,154,Yes,2,NA
12/11/21,8,7,8,Cocomelon,TV Show,,"Jun 1, 2020",377,1325,No,7,8
12/11/21,1,1,-,Love Hard,Movie,Yes,"Nov 5, 2021",7,68,Yes,1,NA
12/11/21,10,9,7,Maid,TV Show,Yes,"Oct 1, 2021",40,277,Yes,9,7
12/11/21,3,3,-,Narcos: Mexico,TV Show,Yes,"Nov 16, 2018",7,48,Yes,3,NA
12/11/21,7,-,-,Passing,Movie,Yes,"Nov 10, 2021",1,4,Yes,-1,NA
12/11/21,6,6,4,Squid Game,TV Show,Yes,"Sep 17, 2021",54,467,Yes,6,4
12/11/21,4,4,1,The Harder They Fall,Movie,Yes,"Nov 3, 2021",9,78,Yes,4,1
12/11/21,9,10,-,The Thundermans,TV Show,,"Nov 1, 2021",2,3,No,10,NA
12/11/21,5,5,2,You,TV Show,,"Dec 26, 2018",28,250,No,5,2
13/11/21,3,2,3,Big Mouth,TV Show,Yes,"Sep 29, 2017",21,162,Yes,2,3
13/11/21,9,8,-,Cocomelon,TV Show,,"Jun 1, 2020",378,1327,No,8,NA
13/11/21,2,1,2,Love Hard,Movie,Yes,"Nov 5, 2021",8,77,Yes,1,2
13/11/21,4,3,7,Narcos: Mexico,TV Show,Yes,"Nov 16, 2018",8,55,Yes,3,7
13/11/21,10,7,-,Passing,Movie,Yes,"Nov 10, 2021",2,5,Yes,7,NA
13/11/21,1,-,-,Red Notice,Movie,Yes,"Nov 12, 2021",1,10,Yes,-1,NA
13/11/21,8,6,5,Squid Game,TV Show,Yes,"Sep 17, 2021",55,470,Yes,6,5
13/11/21,5,-,8,The Great British Baking Show,TV Show,,"Oct 3, 2015",22,79,No,-1,8
13/11/21,7,4,1,The Harder They Fall,Movie,Yes,"Nov 3, 2021",10,82,Yes,4,1
13/11/21,6,5,4,You,TV Show,,"Dec 26, 2018",29,255,No,5,4
14/11/21,10,-,-,Animal,TV Show,Yes,"Nov 10, 2021",1,1,Yes,-1,NA
14/11/21,5,-,-,Arcane,TV Show,Yes,"Nov 6, 2021",2,8,Yes,-1,NA
14/11/21,3,3,3,Big Mouth,TV Show,Yes,"Sep 29, 2017",22,170,Yes,3,3
14/11/21,2,2,2,Love Hard,Movie,Yes,"Nov 5, 2021",9,86,Yes,2,2
14/11/21,6,4,5,Narcos: Mexico,TV Show,Yes,"Nov 16, 2018",9,60,Yes,4,5
14/11/21,7,10,-,Passing,Movie,Yes,"Nov 10, 2021",3,9,Yes,10,NA
14/11/21,1,1,-,Red Notice,Movie,Yes,"Nov 12, 2021",2,20,Yes,1,NA
14/11/21,8,8,6,Squid Game,TV Show,Yes,"Sep 17, 2021",56,473,Yes,8,6
14/11/21,4,7,1,The Harder They Fall,Movie,Yes,"Nov 3, 2021",11,89,Yes,7,1
